Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year
1881   -19  -13    4    6    7  -18    1   -3  -15  -21  -18   -6     -8  -9    -16    5   -7  -18  1881
1882    17   14    5  -15  -13  -22  -16   -7  -14  -23  -16  -36    -11  -8      8   -8  -15  -18  1882
1883   -29  -36  -12  -18  -17   -7   -7  -13  -22  -11  -24  -11    -17 -19    -33  -16   -9  -19  1883
1884   -12   -8  -36  -40  -33  -34  -30  -27  -27  -24  -33  -30    -28 -26    -10  -36  -31  -28  1884
1885   -58  -33  -26  -41  -45  -43  -33  -31  -28  -23  -23  -10    -33 -35    -40  -37  -36  -25  1885
1886   -43  -50  -42  -28  -24  -34  -17  -30  -23  -27  -27  -25    -31 -30    -35  -31  -27  -26  1886
1887   -71  -56  -35  -34  -30  -24  -25  -35  -25  -35  -26  -32    -36 -35    -51  -33  -28  -29  1887
1888   -33  -35  -41  -20  -21  -17  -10  -15  -11    2    3   -3    -17 -19    -34  -27  -14   -2  1888
1889    -8   17    7   10    0  -10   -7  -20  -23  -25  -33  -28    -10  -8      2    5  -12  -27  1889
1890   -41  -44  -40  -29  -39  -24  -27  -39  -36  -24  -43  -31    -35 -35    -38  -36  -30  -34  1890
1891   -33  -47  -18  -27  -16  -20  -17  -17  -15  -21  -31   -4    -22 -24    -37  -20  -18  -22  1891
1892   -29  -11  -40  -33  -23  -22  -31  -27  -16  -13  -41  -37    -27 -24    -15  -32  -27  -24  1892
1893   -81  -56  -22  -27  -33  -25  -14  -25  -22  -18  -18  -31    -31 -31    -58  -27  -21  -19  1893
1894   -52  -28  -22  -44  -30  -40  -23  -23  -27  -22  -25  -20    -30 -31    -37  -32  -29  -25  1894
1895   -40  -42  -32  -21  -27  -21  -16  -17  -12  -10  -16  -13    -22 -23    -34  -27  -18  -13  1895
1896   -21  -12  -26  -30  -15  -11   -2   -5   -7    7   -4   -4    -11 -11    -16  -23   -6   -1  1896
1897   -14  -16  -13   -2   -1  -11   -2   -9   -8  -13  -17  -20    -11  -9    -12   -5   -7  -13  1897
1898    -2  -30  -51  -31  -30  -19  -22  -27  -21  -34  -38  -23    -27 -27    -17  -37  -23  -31  1898
1899   -16  -38  -36  -20  -23  -31  -16   -8   -5   -4   13  -26    -17 -17    -26  -26  -18    1  1899
1900   -36   -5    1   -9   -8   -9  -13   -9   -5   10   -7   -7     -8 -10    -22   -6  -10   -1  1900
1901   -21  -11    6   -2  -15  -12  -14  -20  -22  -29  -18  -27    -15 -14    -13   -4  -15  -23  1901
1902   -17   -6  -27  -28  -32  -30  -28  -30  -29  -29  -35  -42    -28 -26    -17  -29  -29  -31  1902
1903   -23   -5  -22  -41  -39  -42  -35  -45  -50  -48  -43  -51    -37 -36    -23  -34  -41  -47  1903
1904   -63  -57  -48  -50  -51  -48  -50  -48  -55  -38  -17  -33    -47 -48    -57  -50  -49  -37  1904
1905   -34  -59  -21  -33  -29  -28  -26  -20  -19  -24   -6  -13    -26 -28    -42  -28  -25  -17  1905
1906   -28  -29  -18   -5  -25  -19  -23  -20  -28  -20  -37  -14    -22 -22    -23  -16  -20  -28  1906
1907   -43  -51  -27  -37  -46  -42  -35  -34  -34  -22  -46  -46    -38 -36    -36  -36  -37  -34  1907
1908   -44  -32  -55  -44  -37  -38  -35  -46  -35  -44  -51  -49    -43 -42    -41  -45  -40  -43  1908
1909   -72  -46  -54  -59  -54  -52  -45  -33  -39  -39  -31  -56    -48 -48    -56  -56  -43  -36  1909
1910   -42  -41  -50  -42  -33  -38  -34  -36  -39  -41  -55  -67    -43 -42    -46  -42  -36  -45  1910
1911   -62  -57  -61  -53  -51  -50  -41  -44  -41  -26  -21  -21    -44 -48    -62  -55  -45  -29  1911
1912   -25  -14  -38  -17  -21  -24  -42  -54  -58  -57  -39  -43    -36 -34    -20  -25  -40  -51  1912
1913   -40  -45  -42  -39  -44  -45  -36  -34  -35  -32  -20   -2    -34 -38    -42  -42  -38  -29  1913
1914     5  -10  -24  -30  -21  -26  -23  -16  -17   -3  -15   -4    -15 -15     -2  -25  -22  -12  1914
1915   -20   -4  -10    6   -6  -22  -13  -22  -21  -24  -13  -22    -14 -13     -9   -3  -19  -19  1915
1916   -12  -14  -28  -31  -35  -49  -37  -29  -37  -34  -46  -82    -36 -31    -16  -31  -38  -39  1916
1917   -58  -63  -64  -55  -55  -44  -25  -23  -23  -44  -34  -68    -46 -47    -68  -58  -31  -34  1917
1918   -48  -34  -25  -44  -43  -36  -31  -32  -17   -6  -12  -30    -30 -33    -50  -37  -33  -12  1918
1919   -21  -24  -21  -13  -28  -36  -29  -33  -25  -20  -41  -42    -28 -27    -25  -21  -33  -29  1919
1920   -24  -26  -12  -24  -27  -36  -30  -26  -22  -26  -27  -46    -27 -27    -31  -21  -31  -25  1920
1921    -4  -17  -23  -30  -30  -27  -15  -26  -19   -3  -14  -18    -19 -21    -23  -28  -23  -12  1921
1922   -33  -44  -15  -23  -34  -31  -28  -33  -36  -33  -15  -19    -29 -28    -32  -24  -30  -28  1922
1923   -28  -39  -34  -41  -33  -29  -31  -33  -31  -14   -3   -5    -27 -28    -28  -36  -31  -16  1923
1924   -23  -24   -8  -32  -18  -26  -29  -36  -32  -35  -21  -43    -27 -24    -17  -19  -30  -30  1924
1925   -38  -40  -28  -26  -29  -33  -27  -20  -20  -17    4    6    -22 -26    -41  -28  -26  -11  1925
